#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Hew,-79
Sbme-Staff,-88
Vodafone-741D,-88
STUDBME2,-66
Sbme-Staff,-89
CUFE,-81
ARC1,-81
POLA,-83
Galaxy Note10+,-76
MA,-83
Redmi,-70
s,s
Sbme-Staff,-81
Hew,-89
STUDBME2,-66
ARC1,-82
ARC3,-67
Loozazzz,-88
CMP_LAB3,-77
CMP_LAB2,-77
CMP_LAB4,-77
khaleesiH,-86
Galaxy Note10+,-79
Redmi,-72
s,s
Hew,-85
Sbme-Staff,-83
STUDBME2,-62
Loozazzz,-90
CUFE,-80
ARC1,-86
ARC3,-67
HP-Print-47-LaserJet Pro MFP,-83
CMP-lab1,-82
CMP_LAB1,-74
CMP_LAB3,-74
CMP_LAB4,-73
CMP_LAB2,-70
Galaxy Note10+,-77
Redmi,-64
s,s
Hew,-83
STUDBME2,-62
Sbme-Staff,-84
ARC1,-81
ARC3,-62
STUDBME1,-46
CMP_LAB1,-78
Galaxy Note10+,-73
Redmi,-72
s,s
STUDBME2,-61
Hew,-80
D-Link_DAP-1360,-92
CUFE,-77
Sbme-Staff,-86
CMP_LAB3,-69
CMP_LAB2,-72
CMP_LAB1,-71
CMP_LAB4,-72
Redmi,-72
s,s
STUDBME2,-57
ARC1,-80
Hew,-83
omar,-89
STUDBME1,-46
Sbme-Staff,-85
CMP_LAB3,-74
CMP_LAB4,-76
Galaxy Note10+,-78
Redmi,-66
Loozazzz,-90
s,s
Hew,-83
Sbme-Staff,-89
STUDBME2,-71
ARC1,-82
ARC3,-64
Loozazzz,-90
POLA,-85
CMP_LAB3,-75
CMP_LAB1,-75
CMP_LAB4,-74
CMP-lab1,-81
RehabLab,-89
Galaxy Note10+,-83
Redmi,-72
s,s
Sbme-Staff,-82
Hew,-91
Loozazzz,-85
STUDBME2,-62
CMP_LAB1,-74
CMP_LAB3,-69
CMP_LAB2,-69
CMP_LAB4,-73
Galaxy Note10+,-78
Redmi,-75
s,s
Sbme-Staff,-82
STUDBME2,-64
Loozazzz,-82
CUFE,-83
ARC3,-71
STUDBME1,-43
CMP_LAB1,-75
CMP-lab1,-84
CMP_LAB3,-71
CMP_LAB4,-71
CMP_LAB2,-70
RehabLab,-87
Galaxy Note10+,-74
Hew,-87
Redmi,-73
s,s
STUDBME2,-61
Hew,-89
HP-Print-47-LaserJet Pro MFP,-79
Sbme-Staff,-85
STUDBME1,-42
CMP_LAB2,-70
CMP_LAB1,-73
Redmi,-64
s,s
Sbme-Staff,-85
Hew,-89
CUFE,-81
STUDBME2,-69
CMP_LAB3,-73
CMP_LAB2,-74
CMP_LAB4,-74
Galaxy Note10+,-83
Redmi,-67
s,s
STUDBME2,-61
Sbme-Staff,-86
Loozazzz,-89
CUFE,-83
CMP_LAB4,-69
CMP-lab1,-77
Redmi,-66
s,s
Sbme-Staff,-86
STUDBME2,-66
Loozazzz,-91
CUFE,-86
ARC1,-82
ARC3,-56
CMP_LAB4,-80
CMP_LAB2,-76
Redmi,-75
s,s
STUDBME2,-70
Sbme-Staff,-82
Hew,-89
ARC3,-62
HP-Print-47-LaserJet Pro MFP,-86
CMP_LAB1,-77
CMP-lab1,-79
CMP_LAB2,-76
CMP_LAB3,-74
Redmi,-72
s,s
Sbme-Staff,-76
Hew,-86
STUDBME2,-64
CUFE,-82
ARC3,-61
Avaya,-84
STUDBME1,-39
CMP-lab1,-79
CMP_LAB2,-69
CMP_LAB3,-68
Galaxy Note10+,-73
RehabLab,-84
mmn,-85
Redmi,-68
s,s
Hew,-89
STUDBME2,-67
CUFE,-84
ARC1,-85
ARC3,-66
Sbme-Staff,-86
CMP_LAB3,-74
CMP_LAB1,-75
Galaxy Note10+,-73
Redmi,-66
s,s
Sbme-Staff,-89
Hew,-95
Avaya,-85
ARC1,-86
STUDBME2,-67
CMP_LAB3,-69
POLA,-85
CMP_LAB4,-70
Galaxy Note10+,-77
Redmi,-65
s,s
Hew,-87
STUDBME2,-66
Sbme-Staff,-90
ARC3,-61
ARC1,-80
CMP_LAB4,-71
CMP_LAB1,-70
CMP_LAB3,-71
CMP_LAB2,-72
Galaxy Note10+,-78
Loozazzz,-93
Redmi,-69
s,s
STUDBME2,-68
Sbme-Staff,-82
Loozazzz,-90
CUFE,-82
ARC1,-81
ARC3,-60
HP-Print-47-LaserJet Pro MFP,-86
STUDBME1,-42
CMP-lab1,-80
CMP_LAB2,-70
CMP_LAB3,-68
Redmi,-68
s,s
Sbme-Staff,-78
STUDBME2,-73
Hew,-88
ARC1,-75
HP-Print-47-LaserJet Pro MFP,-83
ARC3,-64
CMP_LAB2,-78
CMP_LAB3,-77
Redmi,-75
s,s
Sbme-Staff,-87
STUDBME2,-72
CUFE,-87
HP-Print-47-LaserJet Pro MFP,-86
ARC3,-63
Avaya,-87
STUDBME1,-40
CMP_LAB3,-80
CMP_LAB4,-79
CMP_LAB1,-77
Galaxy Note10+,-86
Redmi,-73
s,s
Sbme-Staff,-81
Avaya,-86
ARC1,-79
STUDBME2,-66
CMP_LAB1,-77
CMP_LAB3,-77
CMP_LAB4,-76
CMP_LAB2,-75
khaleesiH,-87
Redmi,-73
s,s
